ts	phase	decision	why	evidence	result
2026-08-26T17:37:03Z	frame	exit predicate is overlay+jig+cross-repo on alienczf/pi-stack main, check scripts green, throwaway HOME idempotent, real ~/.pi merge without touching creds, logos jig drafts only	human asleep, autonomous run, do not ask	/tmp/pi-cursor-harness/docs/pi-stack-plan.md	open
2026-08-26T17:37:03Z	design	architect skipped, shape locked as three file layers and bash installers	plan already chose overlay vs fork vs SDK, a second arena would not change files	/tmp/pi-cursor-harness/docs/pi-stack-plan.md Appendix A	skip: mechanical
2026-08-26T17:37:03Z	how	Pi overlay is APPEND_SYSTEM.md plus global AGENTS.md plus settings.json defaultTools/skills, not SYSTEM.md	usage.md appends APPEND_SYSTEM, defaultTools lists grep/find/ls as builtins, skills array takes absolute dirs	/tmp/pi-cursor-harness/pi/packages/coding-agent/docs/usage.md	VERIFIED
2026-08-26T17:37:03Z	overlay	unit checks for overlay jig cross-repo all exit 0	encode the predicate in scripts before live install	scripts/check-overlay.sh scripts/check-jig.sh scripts/check-cross-repo.sh	tests green
2026-08-26T17:37:26Z	overlay	throwaway HOME install twice, hashes match, skills=14, grep/find/ls present	Make Operations Idempotent, prove on a fake HOME before touching the real one	/tmp/pi-stack-home-test-1.sha	VERIFIED
2026-08-26T17:37:26Z	overlay	merge into a copy of real settings preserves packages/subagents/defaultModel/enabledModels and does not touch poison auth.json	install must merge, never replace	/tmp/pi-stack-home-merge/.pi/agent/settings.json	VERIFIED
2026-08-26T17:38:18Z	overlay	real ~/.pi/agent merge added defaultTools+skills only, auth.json and models-store.json still match backup SHA256SUMS	preserve login, merge not replace	/tmp/pi-stack-cred-backup/SHA256SUMS /home/zhanfeng/.pi/agent/settings.json	VERIFIED
2026-08-26T17:44:09Z	halt	stopped workspace-router path, will not write or restore examples/workspace-AGENTS.md, will not walk sibling git dirs, parent owns topology-agnostic cross-repo	steer, never overwrite in-place parent corrections	overlay/AGENTS.md extra matches, skills/cross-repo/SKILL.md, examples/workspace-AGENTS.md	open, parent
2026-08-26T17:46:56Z	steer	deleted container-folder AGENTS.md ritual, cross-repo reads cwd registry only	Pi walk-up leaks ancestor files into every child	examples/workspace-AGENTS.md deleted, skills/cross-repo/SKILL.md, overlay/AGENTS.md extra matches	VERIFIED by check-*.sh
2026-08-26T18:05:08Z	jig	live jig.sh on logos wrote .pi/jig drafts, tracked diff hash unchanged, pem hashes unchanged, no apply or commit	predicate 5, one git root, PI=echo already passed, live pi -p also ran	/home/zhanfeng/Projects/trd/logos/.pi/jig/	VERIFIED
2026-08-26T23:43:38Z	overlay	install clones cursor/plugins sparse into HOME/.pistack when PSTACK is unset. do not vendor pstack bodies. no submodule.	copying skill bodies is the pstack-claude failure. submodule pins a monorepo the user does not own	install.sh default_root, throwaway HOME clone test	VERIFIED
2026-08-27T01:30:00Z	overlay	curl|bash clones pi-stack into HOME/.pi-stack when PI_STACK is unset and overlay/ is missing. existing checkout is reused. do not pull.	piped bash has no neighboring overlay/. local checkouts set PI_STACK or run ./install.sh	install.sh default_pi_stack, check-overlay piped HOME tests	VERIFIED
2026-08-27T01:44:00Z	overlay	one home dir ~/.pi-stack. pstack nested at PI_STACK/.plugins. drop ~/.pistack. do not rename the github repo.	.pistack vs .pi-stack was the same prefix with a hyphen typo, not two products	install.sh plugins_root, check-overlay rejects pistack	VERIFIED
2026-08-27T10:20:00Z	overlay	required packages are npm:pi-web-access (librarian skills filtered) and npm:pi-hashline-edit. merge into settings.packages, keep extras, pi install when node_modules missing	Pi has no web tools. builtin edit is unanchored. do not add MCP, lens, todos, or pi-hashline-edit-pro	install.sh packages merge, overlay/AGENTS.md, check-overlay keep-me, live pi list	VERIFIED
2026-08-27T11:37:00Z	overlay	conform Cursor skill names into ~/.pi/agent/skills-pstack. do not sed pstack. Poteto Mode -> poteto-mode. settings.skills points at copies	Pi Agent Skills names are [a-z0-9-]+. Cursor Title Case names warn as Skill conflicts. playbooks stay via symlink	bin/conform-skills.py, Pi loadSkillsFromDir, check-conform-skills.sh	VERIFIED
2026-08-27T12:11:00Z	overlay	Task is the subagent tool from npm:pi-subagents. forbid bash pi -p. required package. cross-repo uses cwd on scout. async default	nested pi -p blocks the parent and drops the subagent tool when --tools omits it. cursor/* model pins warn and wait	overlay/AGENTS.md, APPEND_SYSTEM.md, install.sh, check-subagents.sh, live pi list	VERIFIED
2026-08-27T05:17:03Z	overlay	install.sh oneshot. find pi under pi-node. fail if pi missing unless SKIP. cursor/* subagent models to inherit. defaultProjectTrust always if absent. link jig to ~/.local/bin	curl|bash left cursor/auto children warning. command -v pi missed the pi-node binary. second conform-skills step was a human leftover	install.sh, check-overlay.sh, live cred hashes unchanged, ~/.local/bin/jig, pi list extras kept	VERIFIED
2026-08-27T05:33:41Z	smoke	iteration 1 doctor assertion failed looking for scout/delegate/worker names	doctor report only prints builtin count, not agent names. prove it works against the real result text.	scripts/smoke-subagents.sh grep scout|delegate|worker	reverted assertion
2026-08-27T05:33:41Z	smoke	live parent pi -p called subagent doctor then delegate child returned SMOKE_OK	static greps are a proxy. a parent with --tools subagent must call the extension tool. inherit models must not wait on cursor.	scripts/smoke-subagents.sh token=SMOKE_OK_1019935_30545 model=openai-codex/gpt-5.6-terra:medium 22s	tests green
